original_index,Municipio,Presidente Municipal,Inicio,Conclusión,full_code,firstname,lastname1,lastname2
175,Carmen,ENRIQUE IVAN GONZALEZ LOPEZ,2012-10-01,2015-09-30,4003,Enrique Ivan,Gonzalez,Lopez
176,Carmen,PABLO GUTIERREZ LAZARUS,2015-10-01,2018-09-30,4003,Pablo,Gutierrez,Lazarus
177,Carmen,OSCAR ROMAN ROSAS GONZALEZ,2018-10-01,2021-09-30,4003,Oscar Roman,Rosas,Gonzalez
178,Carmen,PABLO GUTIERREZ LAZARUS,2021-10-01,2024-09-30,4003,Pablo,Gutierrez,Lazarus
179,Carmen,PABLO GUTIÉRREZ LAZARUS,2024-10-01,2027-09-30,4003,Pablo,Gutiérrez,Lazarus
180,Champotón,HERCULANO ANGULO VILLACIS,2000-10-01,2003-09-30,4004,Herculano,Angulo,Villacis
181,Champotón,JORGE ENRIQUE CASTRO SANDOVAL,2003-10-01,2006-09-30,4004,Jorge Enrique,Castro,Sandoval
182,Champotón,MARIO LUIS GARCIA ORTEGON,2006-10-01,2009-09-30,4004,Mario Luis,Garcia,Ortegon
183,Champotón,XICOTENCATL GONZALEZ HERNANDEZ,2009-10-01,2012-09-30,4004,Xicotencatl,Gonzalez,Hernandez
184,Champotón,JOSE LUIS ARJONA ROSADO,2012-10-01,2015-09-30,4004,Jose Luis,Arjona,Rosado
185,Champotón,RAUL ARMANDO URIBE HAYDAR,2015-10-01,2018-09-30,4004,Raul Armando,Uribe,Haydar
186,Champotón,DANIEL MARTIN LEON CRUZ,2018-10-01,2021-09-30,4004,Daniel Martin,Leon,Cruz
187,Champotón,CLAUDETH SARRICOLEA CASTILLEJO,2021-10-01,2027-09-30,4004,Claudeth,Sarricolea,Castillejo
188,Hecelchakán,JOSE DOLORES BRITO PECH,2000-10-01,2003-09-30,4005,Jose Dolores,Brito,Pech
189,Hecelchakán,MARCO ANTONIO AKE CHI,2003-10-01,2006-09-30,4005,Marco Antonio,Ake,Chi
